Fiction;Le Seigneur des Anneaux;J.R.R. Tolkien;1178
ScienceFiction;Fondation;Isaac Asimov;367
Thriller;Le Silence des agneaux;Thomas Harris;452
RomanHistorique;Les Piliers de la Terre;Ken Follett;1076
Fantasy;Harry Potter à l'école des sorciers;J.K. Rowling;332
Drame;Les Misérables;Victor Hugo;1232
Horreur;Shining;Stephen King;447
ScienceFiction;1984;George Orwell;328
Fiction;Orgueil et Préjugés;Jane Austen;416
Thriller;Millénium;Stieg Larsson;672
RomanHistorique;Le Nom de la Rose;Umberto Eco;592
Fantasy;Le Hobbit;J.R.R. Tolkien;366
Drame;Anna Karénine;Léon Tolstoï;976
Horreur;Dracula;Bram Stoker;418
ScienceFiction;Neuromancien;William Gibson;271
Fiction;L'Étranger;Albert Camus;123
Thriller;Le Crime de l'Orient-Express;Agatha Christie;347
RomanHistorique;Les Trois Mousquetaires;Alexandre Dumas;704
Fantasy;A Game of Thrones;George R.R. Martin;694
Drame;L'Assommoir;Émile Zola;528
Horreur;Ça;Stephen King;1376
ScienceFiction;Le Meilleur des mondes;Aldous Huxley;288
Fiction;Le Petit Prince;Antoine de Saint-Exupéry;96
Thriller;La Fille du train;Paula Hawkins;378
RomanHistorique;La Bible;-;2000
Fantasy;Le Lion, la Sorcière blanche et l'Armoire magique;C.S. Lewis;206
Drame;Madame Bovary;Gustave Flaubert;464
Horreur;Frankenstein;Mary Shelley;280
ScienceFiction;Les Robots;Isaac Asimov;250
Fiction;Le Vieil Homme et la Mer;Ernest Hemingway;127
Thriller;Gone Girl;Gillian Flynn;419
ScienceFiction;Fondation et Empire;Isaac Asimov;289
